C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100
2434898549692705794,1792843773783104829,393317910946089938,4876754164180678692,5987865435138336330,4634010021034586011,1790978526807472458,6078033712204690160,8948199335732988742,9020467386362370126,3884591785936237731,6589275928308648885,8940477564447251601,6002877314740911046,2805695030105317532,5940104938568996764,2163971565112370617,8123735674643656225,3464188822365869288,9011801155079685382,3898173521461808729,3717488302900388007,2692464750713249341,9119230500149510603,4472031125158177459,2584998821902870359,863486834486006654,3678051705491741404,7966348250174835227,5566823772111468933,8311725142940360219,7706610641233540550,6966689659043190061,8232080218129064020,2272961895734318991,964930877886065064,8750039370062577941,5124428287390944563,2633579954261578090,500657076341769961,6396984653273401608,5982528645881301552,8240887385742148578,819295578414359393,3924252291918672012,7227847294580817302,8028218902866666863,7445567056115255318,1929510050974010599,4571997601225267044,2521440656146197317,1321805901521752862,521791207142170019,5788943198889616082,6554318177645219352,607373809008682034,5707789498525243822,1527398758106308242,2692535202004862776,3713049626334562033,867356168972964730,2973054903779179491,8960486127638665137,2554764795213922982,323193106766918291,2007968435484160975,1456293743006044152,4959105107783445587,8526896791958125262,4478409462688167872,996502035389515012,6119145807819277831,6810630851705898732,5607511023099578000,807076385014492495,6685955684876665916,7798495805039926208,1350457986924348416,6877365102564700212,6427319078599995737,3184569522384999414,2613468348109824537,445083315171621738,3790599545708536173,1236023931569916856,2319153868907154237,1836645234452851610,5500403007709850336,3091499164784257862,4370505324347747067,5654591220851509360,1778196141270502491,8298113214665380460,7224089606677469183,885159818768892186,2901735885929360039,8024660037656273620,1049116002339595384,4420423645135884876,7027290177170813239
7940350998117489091,7981147771720348299,8527285376860882071,136757378060704956,4009819674192230352,3654274480789496302,8841180027847349622,4161962022682573214,7197072308316892091,8743148793640735320,8425812377107270002,3741287423689704379,2795283835145115643,3049932533865593935,2024936283596759026,8784444329331271391,4059309248619349829,1820838174236094034,7715422715692523190,3149305867672286135,3251100652589809670,5448325407584501641,2635616323856343099,827852238232427315,6346089543895234827,6915138559595059445,5498022985688009764,4684705942110791779,505661241703576631,9133000703366205649,6030737857064825885,6008860608559453846,2843756808765621930,6267626161231675023,7272401298201735968,4848387708897104241,578194329733878338,8510797868668992993,7569676060923951959,2909314290050208572,2346337411946909908,1868869086217959194,734613263821605203,7749991074608870369,6661048301672958541,2054752113303420454,4802357772161839565,8517088368563310016,5340016806941735046,4318625955707866806,39522603870857886,2171011425908626238,1727133426296621513,4746018096455104764,1958091256249877972,227133564284501065,8269329263232899276,881258751426267431,6673781439767119052,4195443978185960744,6452685697510355187,7238856513272931510,1376044478505168515,4718379147944247053,5701838234665891974,3969154223361873564,1681294945140457775,4404099316985061341,6193046829608940641,4778780793967979461,3119357816792503963,4995172266796385497,3104945962092638948,2007573120238737751,4047607395941088799,8906994772013307711,8610369011249010937,668837863885043354,8386484112636884765,4008935508951297402,5312246043227148338,3188174759909245794,6146807020412929699,9031426073069693761,6261912874866327503,6505728707456106473,628188215290412349,7055843425691685496,5369107050086634807,9115510020078625541,4865506167490052275,340157493635951364,3235203322445059773,124679567653003587,7251653788492719542,4627998809518363270,5895598935140501379,2789362060290563914,2005798018687976164,2267848842611375629
6908943726165958557,484058184985030335,7428918706314348028,1719402284188826736,9096690594563291604,5084020898267188578,8211672079225607806,7942164149835113643,3982758892636314803,6029110697548114307,9090342152563697872,6235968793202916191,219043570747771724,294062298239041425,8449454722099196013,2391870998617356474,523821929554648178,7255245921692596535,6230061316480465682,8909363525236614578,5322858022600038406,2599912682756938650,6231204361652547551,1194160625085488796,4547503294962745808,3673510707469517980,3098347978626463872,4410619512568247902,422113482601053971,1545964208221728524,1811665626780337273,6515269001753558563,6617413315903774575,651845233960739374,2666507389070817858,3643226902254670171,4147135980241395991,3561395423149092767,9143225989081065812,2127517918337424453,1329639175152831853,7971839479374887316,8468028893731111826,8480881182813883417,7221722426654894430,7256965007033374775,2033166336063496310,3183243390707453592,511564890906049237,5389177136580454865,9171922630583006271,3687361143166999646,2725284700938755027,814958919750465599,5623779558016348457,3939669425993502759,923252787805159331,7326296501134816185,4799438728696951017,94514591234068151,7837652637353086660,1086267562545078785,856125443156661189,2393623086772839411,2129030794035358849,5964774963085931736,2577510337621546873,1694445809166321804,2312042808577750968,9079917181880535324,1401553825121450193,8605530669914635014,4714015002705006550,1428731530696463039,6199744936716249541,5487938838369300559,5390363378382060512,4214425228403713005,3486418728464377509,7347467162244976904,2045870894861185035,6188431707918616358,5322374765487383683,299458988504714346,2998993509398764494,1467371245391680816,6898332094084529768,7890692662133914325,2854396004106769313,614122326779052608,3542124525147891555,9034521536970524595,2382938559046113209,6631373599930845574,9154889011122554585,1359665053157332044,1329158186805811876,5377723747078318092,6504356523334628920,6401899517749871264
3052092022732450057,5251743749647565147,3381115830710673594,6157024375700163499,4229120959488865142,3978094070569235864,3576799176969675424,4849098362706763174,5751869394428124839,547017677819199175,2813704407929738899,9057468939960372259,6283362192633942586,4933839885653062995,1445433999371700122,5373899131897499303,8834382104140821437,5311931092008456718,8263107253905585134,3426499176021053313,4200577280215221194,288271015976338299,2766042657175310838,4572300934969566096,6214054338166899555,6463557617134694180,6866543648351537427,4773480426321634491,2821002504505124144,1748073511792969707,8996495287590064859,5111394328518495366,4965719596145120904,3136295958768436412,4981792935069454691,1423976422755742809,1703558151619130731,2192378262702181556,5477552766678812944,118475728987379696,2918778050806542626,228502908186781722,6989334690434437090,102850427838267107,6287390486426993109,8406240345032767768,3598097505698603832,3064161588844548398,2041335302683908466,3134201612633591468,5813071326145194214,8782684582876090672,1390896014797160793,6618081866724098808,4456851249372110684,3854015116143479734,4103343461475885934,6681620095438195642,7554564698402248492,8229920181792567823,202356415428420321,4097258670515717110,2974270979269966232,3883232185754037633,7091837710917208902,2608622684213660821,2455166696734126401,6634767358557619473,9059258588916038934,8823673067060218567,7143156494098590734,6204617742535831080,3047320595838096731,6500419426094155812,8610967183616854719,1457650468192160093,2535916410665431796,8549327949203822018,6038814646785485439,7773691979110794618,6436778759600607540,1869967765546164508,2328658789873095267,2497938850889036589,5437854239881146714,2802994463465655789,2902647581460493505,553114327333640262,378575830254537042,1209048326716351352,704230577511056217,35248900956909531,3270984612841602872,1705368996927824505,3936338304433951065,6352529427524052709,8413029294451567067,4632954402230916638,4791902199664697641,6750233267820650463
6984860253036803434,7248918823750136006,6847400011713709643,884627052071357370,8741278152618290220,9125056541693734300,4649123484882936430,115950635491913223,5771039617917397469,2262401599364365733,1579478485556332444,2168407703082162927,7224443137439084630,9163055617583960244,4638832465355276099,1695113746118646305,7337897551812174886,1672622173028214660,3035707983784603064,6147669521781831112,3871976024492694597,1378342987968167536,1920654785274096400,1743483095166608212,7404157982032972064,1077387674326421088,5665018713974677335,7950310304540166902,4074079277322870813,3645788107391051902,4149268306864724401,1730117978820518345,6380711610450677682,5067148928620683976,8669395731382354406,6398296944792946482,7589440659047727977,5034069787103803648,1261952078108774705,5760431626822748799,4006458406162797106,5381671789044443357,911274378266088669,3987024295331984845,8312772883289572378,5793584598914618097,2053356885704181143,8101382337640788020,2026789767568489153,6149322597370681578,5247022511031089315,382324981712461233,6178163859971405694,1661495056595240270,4537604212816470992,4141321096333862356,3688053655502643480,8162249027650616644,4832074510608359853,6719144801904725563,1779179432819565550,5172687494889850649,2299730847285721144,5291891650090664076,2069984459362204515,314423213154445748,8826313036675884596,7915698103305653116,3717316629026445949,1976649894678299511,6519575388330339017,1639580118611315382,3598324093961018494,1050106779755504747,3297555005887174672,8250481151586610418,3902707356196813163,7577557771066426874,2239827105510125401,1854046817245192338,1464683828286771485,3883296308809770937,5563093769812633956,1277688370445336621,58436825238146451,8598830318137898778,7954520242012396065,1918420634500530968,8373171671899637125,8456151305477178207,922865121396135781,5220094373340378535,2035987879453986578,8673408462308593896,7686540024737405031,7338971005451310378,2169146301157223613,2611000186629344618,3409390933342298615,1606541206830036241
6955265800000768789,4281139831169220255,1136858307983555748,8253745200461675409,4397268761752759583,8236624180644939420,2214183077440697770,7965330516520931753,5339994127997548027,4397224631626251739,7405855589669952544,8213927341503845223,4684728196416933730,5989586768522547732,1927957547619463252,1093014738891645046,816003305328352584,8251775733556724506,666111132811484861,532280528740321722,2855365370835592377,890034193342061997,7531024400823668474,6531939266609167609,5160637206468923910,6056860969758288334,1343139909872622180,6077250110532602589,6582254821316903010,4141087249861980804,3230217213313659317,2079830597752883889,6477270592091931746,7577084685397218566,3440491595502533168,4664282723224509915,2197242841886080295,221173064047980658,4626193259305396842,1491887948772061242,2625479103053135262,3867107457978779566,1640406256121914931,3354606844267392975,5136799462056101024,274776699705217608,4709083163009204784,7355111745287035219,1675275627714514348,6634914486886967603,5163731283087462816,8502068705432021014,8727095890500296998,436117917996786725,4851348995036748267,6472241383849262581,8387991840812453073,8618452425929669902,2057370467882802424,341966997368258596,3885325729421927634,7090343022133695674,4343507119090039880,8039782884867574037,8851838299560682860,5674939444924743325,901468838242830114,3179924565259895083,6301010407480486842,6052096347442669643,6389242779093081917,4519053556744970068,25260422444556975,8485274612355886710,1082508913280908664,6417980563505655492,3333298005387799729,3223500083861949659,1611783219332304038,6046635087838235019,6633317789901960659,9005538293666951961,5166611525887683297,176474291856922255,8688898778778042851,5029313390135834442,7705618995956856577,8724492357770602094,1643367683023218736,5879729261948295304,8659287326996571094,6759250675200168311,4558067198623674931,1960652843375435041,5820969185545929057,1634244577483397968,9136056243131046561,6756656444180885421,384413436263857441,5113797088321518085
7588799469965048474,6613394722036524400,1991800476245639313,5843862790152779626,7415983016576143363,1034860301225281552,7312742015968760876,5412764434775358123,5647893231389841358,4148919681240459591,641517460154634679,1642663918549706093,2140247780862047710,8628521253253440828,1745265314804644722,4861922835986215016,4277594285528369847,4846476976421731415,2391344932105201496,7184457248312411545,1384130694163963088,6462339327152715012,3884786609816183614,3930261117963784950,3409967014701674748,8364957717643120163,6687462328334016851,9109580944014900682,8790514508506315907,4354538427862008445,2509007058564367126,4941816476335139146,6070206279757258968,8148981264996944793,3927269139218030772,3523506189476621809,8928562091820446663,463245662326014482,2291673706894100387,1894983173109083850,864335422968664117,4291123427670659595,6457723534361472983,7325662523809596953,703610767410886993,1133724937744730624,1358984946224616910,2837849476214824863,487630796644761116,5161005572987946608,1166799115091567302,521121543209417415,7262034053485920979,3102103205006678729,9127185758662332575,2748837302663595962,3470180396599251749,4588586016488664087,7980780236409550893,1369575792400276274,7992426719965676268,1896408694896748262,7569021606922464996,3033726611074927528,5095198375554881812,444681677767069613,9144358025007386911,6057687002613416725,2264514761540006775,3146852298756044512,1021664951128958674,631284087341877382,1082003110533614832,2060295324645634852,6751862875541022909,5245386029044294071,5273662071800701054,5781951299009594271,2599762419651481819,5430364890243118739,3309348637235302367,6706525533225759691,5021191561679702041,1118371620545763581,4137381741250238399,1536667728743748896,1868737136862843970,2132440327098533564,5664376294226722754,6927587718617447961,3964628471937295094,418405363148136654,8489878241903729338,4164861140103152044,4589419422276767592,5628988008856485703,3440097266661504260,2619877870668601390,5333435160751256883,1511888362713662319
5166710939582678291,396750685990023355,678183038976185293,1821994818595310138,5670747444664381440,1844963160133178721,5828829868835289557,3242374712134998160,7695328674384864603,3497537264489492271,8204342703400732526,8345204908591977969,6574151675792289383,7931441484964736600,4849772577857578345,7392392186400656756,3361056658068270706,414192435886664101,5781672273236140100,1269253859573344165,1175988985216114638,4998556641365350834,974359909028467954,7494546801989114225,5936905473576366522,2929832966232875301,8723249078526215746,5740635878681916310,6794494467312669512,7842050362828447302,2827014464502184315,2408302998269595987,6836383162687365189,1474979721152411087,5021209649919922226,2432138707181541790,6720043017263126040,4659246212534350792,66315391448833507,5237676767294735809,2475744187010086703,896513667000733767,1732255160243578063,8748886114487811094,6832594706922460762,4704886667113381487,8115664304311336772,3308179934413442656,7386609782641110025,7691735246100394128,8476091154622110590,8742396227876384073,3696656697458879881,2450879810303576512,1538151983291618728,8747882293730827982,581788152143136072,3663447394911552682,7133056350522045703,5040792658098017627,1784884617521865750,8219907559913206701,2814689327836189525,1190370342246204295,8621712560433969820,8680176260467782076,6871114323981635723,2165350990243738729,4229253514308664609,5603136065779730324,4206252150270147847,7240536860488968443,9086709179648548210,2953657719520195466,3075315063480418063,7460371439215530079,1875065734482919965,990030066968237232,3094560857603459169,6604752773367991264,6143426601084429753,3521686395869665197,4888128307263462882,7692853358271617788,6663951865437949198,2165987561176372927,2999054862813156312,5137768270947100388,2344268422771711325,5195321821782342768,591481851091115423,8057369220245857928,2663613169458066965,5908589941977908272,5569826136115848292,8682343620776769335,375847889212285617,8325764827405105824,6292110574802669097,3080944665110571496
3522331909735501240,6631190896395278573,1624881849049845685,2891989588390921053,6228565799782067946,1846290030942102963,6492029350288971934,1477882914712022995,2563167229747736073,7849178688521759765,7323520571932615376,2644925730300330629,950197252270091642,2019824506978369151,8683720225376299652,1703162525141461652,8664604666566250612,8764235179526060833,6361342034124712590,1633123712800012971,271817205609808314,2035766350530806830,1748652133795437918,4092139795127041397,6045110850838343671,3211976734831197090,6349031639210389342,3980806300438112348,252158766917647224,1956833073381880695,4425219849400953621,4102680226182059216,1629765049837170433,3148603663274084438,1905154105661593720,1920849188994945113,1737568686659324803,1676472988424348084,5995227182478164875,1514951711537283983,4293942182040914922,2920547788732884398,6863869294595068211,2742063303552951135,5139527351970398176,5733141238403733814,4718750919195384342,5220596814395067750,6670361017974808700,5841946168303543860,1508369131282654124,8949929380146433065,1374776765418095680,7960775649664600999,4293064368266438730,7182008949306214700,271471270001647164,4971012311335746816,5518309565210255369,6767320928217893838,7240297370746370481,4281746225023968274,4782503442385419840,8866989824182689278,5854961400787741919,5084614947307308194,1317667290361886291,905046746958335709,1225596092228752688,184006088920591588,200090421088305816,1103372789497256707,37781506570867583,2752138505179744125,2950141582059004695,5367777152100706545,711152412733946665,3725808004862550553,1375456062786126331,9217266137966784194,8828473455568752867,6408329872299413561,8151364362034833343,7361907658953611658,7407846809388473430,4658195254654989210,2377631908307483461,1344317442501123408,1322942550158133167,8570666748825432404,9647835262009471,3661983869941551053,8685141732482703210,7879473862455873626,423525792372336229,3804147480961049659,5145630664240638608,5753431801184559729,8437162129210659446,7468750079000688862
3760204273045429940,1624101299397933945,7717847765080277991,7556364866524072245,7966295720694299048,3501238764790279909,8033527110608678733,512172618861880080,1412911900784253389,5815119872836084583,6377559924865674038,7834546361756920538,5771714729608191660,5440673530336096574,3215812105442666099,8640527754814713868,8996590134667075145,7962935907832076886,6479861291768151616,8323959365453529361,2429183728457220799,839888390065858875,3080771830755796895,3433071669542142651,6605298178946767589,4406728820186453957,7229407856255296155,5163325962358217194,2142503496878130593,1370066848570858615,7954116041875583608,3670913159609468130,4153602001426307427,3939034006524351256,4220576513365241476,8854304094253598606,77455196058513143,8698832466545923660,4223606644459961750,5879731193265654529,1530158761689293590,6507503991348338500,7528516760440126374,1307644764564223163,1226421411742371298,4743890062967137338,1446208665383696958,6478215174255801920,2069529414226130404,7962838287108138096,5518101195484909630,4191774309275324577,3007662771875383442,7671288243456139032,7287579129661247553,450837026357103315,5865763428210195410,4782270533404427457,4222994218270357950,4892849215380080681,6267055277479594083,6084313502514510470,1121884168335481413,6223438884467672458,233612598319084227,7441888415780781250,8884191815028030746,4106904708798080718,2081626897928904449,1814108528434371438,2121827522249622341,2780288636045950167,7027563907945578610,7734647036545572602,4637212802532351483,4907289743446290622,2169694676383193420,4912367484803749412,7507666603423247859,7482906607500391439,6831674786145846287,1424852284295235516,9026345826758893634,5976249439846324660,4327794036045997336,640176516857298212,6975997925079924642,4347570752027593170,8074491288331064161,4403056487101000950,438621289616910357,4579615690432842880,4029081631034819129,1942668452686512761,9790107190790455,4812303479277268520,5225528888646675660,7574169925999608088,2848796641095023580,143432154722461159
