C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100
5775557751147142464,1955243080416515439,6461241349838682306,6446528397301542606,6342380851653911205,7916910385214601811,4390716400498606569,7281432275171790815,3886367899797547341,8653502319015736081,2525606591722838238,333160082743166081,2655669395005825758,7919931079367507746,4259615276612673877,1954124913729969549,8766867910390553460,3439440330691958923,9048173472209696130,474903886642749441,6376870018918762800,2707708347350783105,5569224279171034590,2885336281475722188,8832259715667871101,8141723577748573442,2650379897078769914,3682068934193287912,168035392185165523,7922133799625506000,9049159278227090298,9142386665039565605,6405813417268826183,405504905287607952,2139291666730835715,3905287865688859488,3715559627905632449,5126199580318081672,104942404163986635,2988217748814093164,3355549321847616226,4803961454158744798,3900268315763369228,3706707395452155335,991502401898991842,1110169919379519738,8719995443032454253,3596114509376064837,5168721873703266296,6472563791635688815,3095821224566407454,2423927137681777023,1259505503953730677,679052269769639117,3929635891631981230,2058266447850459917,6576764914800384890,8213898562584548826,5781140304916390572,4677699694400978232,6132873889126271209,7743491878898899928,7680012922980874188,1579878928023556428,3735420820218872889,4871474859066008910,7871755232948548874,2434292774233290600,1298664189749821150,448518290614198189,2489404615878240342,3239792449813370244,7248422294533220722,4761860740213707411,1871575679268550765,1913222447643577094,5555743137178661685,8102842964804768861,4895320952501532606,3579971709172166077,6084099967086077034,536056332148307303,5353072177247499144,857408528123925607,7806767436255113253,3831344069000205912,1870333926106243855,4960621362800595688,8734450093143206714,1964706278025599498,4709975761885938429,6758095933975216262,1431132053858466426,1713684622092349772,9222817061218490143,8350294647160671850,3799930680875735050,1078012173814716783,1631753773791562091,184295604197096339
7010507613435054826,7457916137484320764,2781811572357048676,3004725297934296672,7011345451040787851,1466951632637124424,1403051672243130423,4543461204362605424,4171829377249007371,1256147051541142869,4195568703749720102,3291754818965603630,876119670753876608,4702748830039448825,7568233267516089779,2409340933992446006,9138770569192904505,5262722942300917067,3290902024663536404,3552924986791901183,8438368053574714328,4558282071282305631,4429559061087746373,7681454504318577990,1358073713578396861,194353634461870177,3403917408092497194,2173800343497551864,8315635607487998212,5375199364561173858,8461123766740077081,8404383149702117245,5791302264006446089,7171262964214756952,1636697583212423802,670454184533264963,6794676078178291927,8271053921606460115,6514515206586268176,5659750836042302323,724497939152748799,5345056517715942119,3113309945055492283,4321555011152987493,1193716371734851393,6637933928808137601,2404125841647851218,2669694925874579048,5562245242062500646,650167755743918714,3768631964892774707,8696880603702187102,3564290960557102357,3839976272699100811,2233971938587577327,6814779441075792548,8488311703947041262,2979766596297871200,383599301595602252,596170702583453094,3482306275495598215,2763818248150824187,8111269489912642259,5319706424623291448,6831899212721780408,1313119961950378683,2023984411561262380,1494413903859232095,2950945087136373240,7326174709079934482,1531607539277326185,4481950611890395814,5669576145326431219,8370472354260426768,6222421478272349767,3940002556481211255,2305203964722228377,6712409212316921619,1052980964264210682,4244764277936064011,1083827569091823931,4904591685311923912,4417365082137901441,6870950630431454589,3901115696175677022,3493636042578875887,1553616933949137827,6787508688729319304,9065324957841402565,2758976832891802934,6766994628330156078,2611509111453608474,4296244085745513715,1194748723292625334,6390908478033787148,4915706732657307561,3029561643747077775,1879323325476498827,5611400080870488818,52117142691333322
6950748123134856209,4740712701096072157,437497186758631070,3377120723386049492,5759926487294054252,7776580606898769188,6627892726211251671,5474770048744758583,2228870955447824834,3696011018541355158,4032178912470191153,1586080585132585810,8942841993036908495,3942470122002531581,8301733225317745889,6627928646397081207,5447157703799417719,6862367524151159605,7895351316032979095,6035713679325016264,7457105745560647904,5894962859132331971,137496252786579741,3217041568680819981,4611826120723438966,6407679323445015709,7664079910873524634,6731192808083017009,4847011913108001221,84457104081824359,3605444892619939813,8610321148858060181,8849799475199847704,7243081306665819790,1519463588095878913,4127180239581349112,8594488176877973720,504430978440908182,4366803018428804808,5094852779234758858,4916368159151034014,4332165577804168548,6254130952203434041,7099366521659852654,2229260622691846851,2612239536200820400,1389641295577510609,2065702336998110103,1074389299657844806,8626203181210075785,1162574946885049467,4080601919932955543,5011961761347931529,906890026046782931,8782373779677573505,2728123496533966554,5643416681594802845,8871764716497237020,7707278219956012845,4229167748012532114,1631598842502646570,544384183814916647,3000956986843033822,1944227014352339067,6409253100969785087,4359774037111682184,8819277245738274536,5412169338721131126,8467219735673699911,7448133307444705262,8090539334864345373,8269372550519560028,6587808238566453342,4060394458740587841,2855694560999899306,7662971257733376455,2203187229769227047,2133185115201263056,6720907414202743287,41077729907574738,3951296010641764856,408608222873722383,9148200955796733723,2790193173733624214,5902193652754551205,8956343522023303524,4095951867016082870,4200486454374488232,1315183431672573355,2357745435144308971,5060502992492613797,4732040035667713299,5017752588434489359,2334297765263208570,7571537794808914787,8101936720084235737,8339712920380672355,4424121190992328397,4136929213913250067,7060696650758907371
4966001932988385511,7122358696599445716,153939082196436375,3294388324017608531,1139993342957261329,8126985664764461833,5261480155327534298,4352110884997024390,1437387379593889019,265117481456506807,7051863416914465038,7894763921252177697,6605659124688465715,8703657161416871838,3180190096723905858,2964853563951369943,7995018827068133798,1235107089442187148,1699717777564138662,6523861792514812631,8718153751412218831,8507657975830841045,2654594682885573456,6136209495643679659,2767670040323735536,2023034379635618064,629022367608867644,2429247138936769763,6204978613381330739,102688891720418932,8140520626568621993,7692570288889250563,3847089978799277179,8765828594224663519,3512350227265883156,2904224136292508609,3422710705891610570,6817050801467956254,4696266307578435721,5785990631134378752,8752334582296833422,2760544853036931513,4002735885632840033,1067741570718562615,379204123317954059,4123784817443438643,6697825165564515589,5843079656686184633,9021089694261079863,5282545601633508245,8545053302610933621,6216570752889212047,7991986671535638616,4158406142864611832,2867998412213661899,6406499475812188320,1532867198228689441,6898996546667957344,1883667184110711729,9163399408836612713,3272742169622134927,9107255140157202641,1311949277492925477,2920044483900157270,4726276764024618824,7359195166521011647,1810349553734502792,5682508534830418379,5743101743253887237,3725278408027334898,4196920301764333309,627063671137533645,7428880956246457141,2554357677506946653,9153296169732077201,1625297646022119077,6485819945688030779,296073798066900056,2380598759709341613,6278762914374345642,1593704245329935041,1302811888567186838,4281660853746068761,2154337179026247972,2531597074520174704,7566633223259659611,7994927916197503698,5742864871137778728,2541655553418074727,1205440633505230790,8816137553252469116,9052698454104627933,977896379858829893,3662649044858741206,3946363004272795875,8166690045065116595,4173032943143896183,8654693850873480361,7555126939902059024,4036915004658642932
1153697023600198000,9003834995436996618,5138655925660524954,6499296834448863730,4725088379763301775,5778465364321084490,7459041487392093581,8964771272873374324,3895176423813926927,955462619287616358,116491462571893630,485449523877504808,4265307232136117003,6857046823852057878,2869447754239666670,3062644254109347073,3631267838185586419,859239160059667473,1052243785794750452,8101208634143006979,7698522555935952711,7553688717183176924,48471726624046311,1262387996331010180,8619528765353812099,7716771805556395223,7578069404889496039,1397752869728873678,8737684044969191130,9084546604171024355,2745106792106235701,4074606405031837955,9055527975575693078,3922001442660212664,3931876069260871070,7621021777575345434,6431342710766152953,2166170979436782653,4302968941049213087,813178776868766440,5426890114316837910,3132035946032637038,1692236909483832708,7395524527401046171,6403085857140654084,4045512221089402571,1363593540953257102,7435176680621437883,4251312475346041254,1304839619037491863,1248923539419629767,1180251281714117313,3955143566309810930,5376035122924757854,673751789690819977,4843968615252183533,6611622949870285061,8025190650371718790,6886474095550036481,2470662124804407477,1062605117714868362,1953255908598472039,2895405480029512586,37744675040151298,5790939191160074964,3992127371822022460,1005963156603126945,4598509675322353456,3169705479495374527,7168092722001848446,4342228856335634184,82057944666525225,5746499019499741130,5683722161537066793,6895939551607888297,6430535112057776489,6569725229727796202,3338072968210945318,7048401087733654165,3331785458699110945,3915812384181111689,7377133028780478593,6493119060506501949,3816940060869261772,4705369891920631402,2259092821301128615,7861916621440080389,2809191081218193590,7305618978070399427,6443051060695683295,1833476203089613185,5394768251555156604,6779630526538865256,3058734813146028288,4988655574432956042,7855275081175742881,7662822971655068996,4983397966659158225,1321257617511023318,6683319415310750737
3850475974168279559,4104618339480072268,4521651599531490145,4896710589654445821,6405755251954539820,4930284815979222542,18062146200020094,4699154451730391145,8133195880216241535,7169904317726348062,3097849498725549439,5129822921550046477,1734605133954998259,4497322752765144629,3184523350655565371,7385179573895853205,6370302666420965060,5430458121929461144,7326534853513320545,3845887379210331881,3695982487374416522,561560216947790135,8050123009258736528,5374615315164954421,1409760627659303213,76966415870238695,1490522647177077618,3684611876137710553,3013452835936073370,6558373775508403966,4526376599203914617,3523237606585988398,1940264595506278167,6238052117499601130,8108899023446036674,2285551482017082526,8761009363909877018,3065392973582356734,2300249978540501257,2008313217029838652,7504170563997305627,2866254914744021525,6798233991595391153,9070982318358047344,9142001958392837972,393242083385898221,109126211950917020,4524653380928737455,2215582738666959948,4330531625255524784,3756529032197867467,6579658721975238991,4529271197280189338,3402651157697698027,6744940743725472279,4407375179148745924,5841936059486446663,7581094188607880130,3889437666052840374,7709160277528037081,8071546610199187401,4903641787788798247,2323577002163211595,2965344102889289,450250408244832361,1225381716612180747,8301363522178736434,7702803313191040661,7164891890533190982,8435612815978370208,5525398046185298701,4389237237902977245,8904434783022419502,7559813818303610957,1306044918703130765,7957683461677493475,4553343085521013794,611550815263855879,9122762196120471339,8359476726875145119,7969301720989823356,1390087986225650383,1956728779983928524,1433233449907964316,447133693271641014,3094038364350180721,9109089040282185014,652338866355719212,6280855252870347100,920448267269368279,6900366007072335703,3043922978395472558,5018619341276459066,2521778074724504469,8704410035084122288,7565502186442841225,8140300539236919855,8582223551646394268,2420109861927761484,6272993339073766696
3618147655595004993,3211187747271834251,1145397372906133291,9065187433315275934,2474661316417534962,1791797904033474909,2528252710523665807,6302828793379664534,2379572236605129769,7734331872357869553,4855929386494770330,4605067166733544544,8373456459780983864,9154845607573667129,8242687915236835447,7392415143604386388,8477741949764576575,5672968024788848183,5380559107938230906,4580684482150849842,4463524920477140571,6138116404561306073,8210416846300778515,4189638429880830150,6769259447297326950,1443574269419661703,3517143044505012675,1329425356456734298,2717874337120982137,6069177087805070132,33839816811893792,8605403690528465113,3591523715593897162,7341470932295287368,2607531994733420814,1822256234452953667,2444924764234640855,8250988620415957797,4894198325061107670,7520401403705493444,4724827574001681138,6063576212630328971,5591783761807688595,6501994136904436622,2285893368102646727,5292614359109899783,4404379657170716185,1012641745579599829,4549977831109333085,5266889836589995978,922856428112269142,4307867484523081003,2018165174737820786,1978292101202392581,3675868548146252267,3634755263904026255,8546112322425743045,8836666899891404952,4488487318580039141,5727774091512510094,8038594537021896500,741131981838066492,572492651004175011,1130974017613070850,474264935721672999,1767257053168860325,3357977609960238059,3662694727436789263,5785469718439486418,2117069921355587152,4455232327982031137,2941088073544907819,5731836261469462056,6048221153492391893,5187077766765390684,6419217482043326077,352845336275748623,660400959039285265,8984689664816971068,4865758672819436447,7682268973690624873,4271559294759986432,8159883202809493592,4671181581933929551,6327442425177680987,824342703316322166,7802801053928525500,3239609874574822235,7551487879264763160,7247510903758041352,3072838414994665757,8293092174639241215,5055359867935308031,5858109268619620160,1154344457642427987,5948203037984686274,3229612920823824218,119586151298224703,2548781276689084868,3998303200927473149
2132333447847531370,2448162834194489264,8265187899025249911,8631003915788260272,2635703822681506955,5488929303620096738,3055688248946614781,6268339475575385708,6263494600105620855,4770633196440544299,8360163007135151936,2886532303660712832,1826000541370586742,8817110580409967954,4515364976317580489,156326959463041353,42063977390149117,6860510347012663653,3011209293794561667,1877691877154114299,2808038084473374380,2813730864101546222,6874373409499695853,4455336379596700032,1664373043064256324,7569636104362480242,8497930981594565139,2239532591460598975,501385233706876312,2211336134702693973,5316553665235359599,4004783594076055560,4707576607678670066,5375463469380480929,2215926175322240116,868087136575687810,8937565831182282605,7299589065341463468,1588999288371516727,1950456074583155642,9036580819624566247,4413242963965296067,1341369518497188526,1259226997213182384,2311291443110023684,7809356869398321653,4615107916659427972,5365061846843905240,6759453386116000690,2008088933467359031,8911333382013975988,7800026466107629096,6686624003415834150,2273871058975359868,2416238042118370977,872205400359421060,3438511126729261505,356742082807103833,4098985934233924325,1689906259716281436,4498385143913376015,8807183079571593993,1179961093044481555,6066500571168976572,5199062223658151409,6280094762646539755,586442951224168306,5268552858698007892,6983502590553637619,5740293816251738742,7899419610732374890,3612372841060231035,4129371811806903701,6491914982706722200,1732172393179557091,5908860518371693305,5218789758618686831,8167236085856950914,2622006965432762693,6779461371194629990,8483025544675182638,2561940197557746656,5289719991889708748,4272983179784727971,5715412935611507558,8360656584762926982,477124792477729721,2013310358550500904,3780898275854883244,8316586906015172173,3003285950699966156,7176037754094208696,3669810318389165115,6055733040003323923,6555342085434835660,3184988842351312183,6172974041334698497,1626622081244049956,963876803894690359,1085238224508751574
248576625122450193,3583417518247376395,8691437166984018447,556636327314944656,6677632403505757747,3245135089006018401,62654961300101537,7210596401901905560,618888406035761565,6249871269464953418,2600903902987160714,4446811217760462188,8947752750886397956,4941322382385193017,2242133356214332509,4392829082706280288,2090283222724052739,2085319042229425221,7123793967834028818,5175450308150395346,3372173440799355179,2830010837321587307,8664119342493374713,970569066799570707,4510767394926819385,2684854380454498024,2562079220110042326,6126920108271415893,711744029291454221,8669889566889252345,8486004310678487416,939994299443719541,3652476620975226319,4089943015327952149,2079361648976782686,3241896397081429802,1797690770025110932,8585149295919294350,5358160595115847071,1506742244034842230,5220652744667949137,358061783088865084,5761448652847802303,5226655023003796229,4862963482356600283,2797570553678942961,1825636634504604752,1710535922144404903,7891564354128105039,3656678412051667852,1734839642282918554,7971012974919952805,8863357714524326572,9041485614605639202,8408525707203568,815928619078945283,2084827055479069314,8864311580969365384,66957119843513378,5302566403935775801,5282670061317781677,6088226066013839510,5596205015980223306,4542877681227193392,1055930716384821006,4456630149346002777,5401689203713951277,7318256166483085127,2581499730750916342,2716882731948647328,7052396930525666956,171073242258488490,2140815873849101476,3583278417229023997,9159511145003790451,4665847882142163729,8562951725407953727,7645068132193114096,4499230440705371069,4264484227512705341,825153879962766389,8747368197536468910,4928421174702140692,6373424139331030279,4934288922022810662,9152046537491151752,551641756130520954,6196187549633422565,5174806691372719079,7829170054433107739,1746161911871824694,6591189483838874645,5184643772657861464,175143022565263581,7883940305586129504,8814909899869248299,1200665524257930368,1840674917473487222,2884680551407639857,2314843443432061552
8501146672282408576,2039289398354437920,2347836709434642479,4797904278858949839,6563822944556147417,4006199186019911699,5588474744795824156,6966728769405625006,8719973167468439659,1024405132960813997,5831978383735953451,1994481481496886312,7085841018814852568,8589262138717971083,6910555939804379320,8268303107911091643,3109166545649724527,4807377818002010581,4026075333315845823,345638443962638301,6697960342216340548,5396373042494343401,3948887532316037420,4645423472053639394,2741640070476815958,7077018578049771889,8258925358280135009,8305535518400274301,3394894533525325124,7847062183339537543,3305947836596385669,5759073353553292288,7072317420204297961,4791076347821350231,8116387991698963017,8360466408334631623,3632735433150848737,1495218267455964427,7222041293685954918,3282369101384022519,2712960314429077559,4053693736264956534,5597257594027417149,1853183810096242135,2876164244241505951,4403753363672816939,3185872892688133502,6470965196815658337,4271735577919696678,4406091247205084491,4623466723279241723,5279850001040663108,4337150213947707011,8767450638043756935,6740138371100246189,575669367486823688,8213917984827441653,7245433561102804368,7760010041774271582,2825325414192654160,928589045668129333,3533856777320590558,4598815440657635873,6396663913660092912,6265930210744088690,2259637059881513506,8250041049859237635,2317755696297845367,5310172048478045899,2870611922246748887,8430993617203772076,161879300497498663,4449946579883057230,7577532342591023136,5383021722005044052,1492025945883279490,2238179199556181075,2097378606041129428,6177028929027972385,631622326718096286,256824116693469278,6618045803681306472,6450156766245304254,3480782633437329366,6173481874011961430,6723639677761242840,1193107558524319313,2297937536078341028,5323425013184443601,1330680135612381999,272317730116697439,7990274369877672610,8664820442097157934,4063603543772260385,1487836637368167414,153134265298642055,7807235387652879958,5401019449600630476,5615748264240551076,8807177054701151451
